carpeta_origen,ruta_relativa,formato,tipo,dimensiones_px,tamano_bytes,correspondencia_portafolio,paginas_pdf,rol_visual_o_tecnico,certeza,uso_web_recomendado,notas
PORTAFOLIO GIS, PORTAFOLIO_ESPAÑOL.indd,indd,fuente de maquetación,,29175808,Portafolio completo,1-93,documento fuente de maquetación,directa,referencia_no_publicar,Conservar como respaldo; no usar como activo web.
PORTAFOLIO GIS, PORTAFOLIO_NESTOR_ARRIAGA (P).indd,indd,fuente de maquetación,,26210304,Portafolio completo,1-93,documento fuente de maquetación,directa,referencia_no_publicar,Conservar como respaldo; no usar como activo web.
PORTAFOLIO GIS, PORTAFOLIO_NESTOR_ARRIAGA .indd,indd,fuente de maquetación,,26210304,Portafolio completo,1-93,documento fuente de maquetación,directa,referencia_no_publicar,Conservar como respaldo; no usar como activo web.
PORTAFOLIO GIS,.DS_Store,sin_extensión,archivo auxiliar,,14340,Sistema,-,metadato del sistema,directa,excluir,No publicar ni migrar.
PORTAFOLIO GIS,AGRICULTURA.png,png,raster con/sin transparencia,3200x2400,106324,P04/P11 Agricultura,"24, 36-37",icono de categoría,directa,publicar_optimizado,
PORTAFOLIO GIS,AGS.jpg,jpg,raster fotográfico o página exportada,3508x2480,604872,P09 Vocaciones productivas,32,página compuesta exportada,directa,referencia_no_publicar,
PORTAFOLIO GIS,AGS2.jpg,jpg,raster fotográfico o página exportada,3508x2480,664007,P09 Vocaciones productivas,33,página compuesta exportada,directa,referencia_no_publicar,
PORTAFOLIO GIS,AGS3.jpg,jpg,raster fotográfico o página exportada,3508x2480,711994,P10 Aptitud para conservación,34,página compuesta exportada,directa,referencia_no_publicar,
PORTAFOLIO GIS,AGS4.jpg,jpg,raster fotográfico o página exportada,3508x2480,565402,P10 Aptitud para conservación,35,página compuesta exportada,directa,referencia_no_publicar,
PORTAFOLIO GIS,AGS5.jpg,jpg,raster fotográfico o página exportada,3508x2480,603135,P11 Aptitud agrícola,36,página compuesta exportada,directa,referencia_no_publicar,
PORTAFOLIO GIS,AGS6.jpg,jpg,raster fotográfico o página exportada,3508x2480,630093,P11 Aptitud agrícola,37,página compuesta exportada,directa,referencia_no_publicar,
PORTAFOLIO GIS,AGUASCALIENTES.png,png,raster con/sin transparencia,3200x2400,92285,P09-P13 Aguascalientes/Calvillo,32-39,máscara territorial,directa,publicar_optimizado,
PORTAFOLIO GIS,APTITUD/27.png,png,raster con/sin transparencia,3200x2400,197103,P10-P11 Aptitud conservación/agrícola,34-37,bloque isométrico de metodología,directa,publicar_optimizado,
PORTAFOLIO GIS,APTITUD/28.png,png,raster con/sin transparencia,3200x2400,202515,P10-P11 Aptitud conservación/agrícola,34-37,bloque isométrico de metodología,directa,publicar_optimizado,
PORTAFOLIO GIS,APTITUD/29.png,png,raster con/sin transparencia,3200x2400,201310,P10-P11 Aptitud conservación/agrícola,34-37,bloque isométrico de metodología,directa,publicar_optimizado,
PORTAFOLIO GIS,APTITUD/30.png,png,raster con/sin transparencia,3200x2400,198184,P10-P11 Aptitud conservación/agrícola,34-37,bloque isométrico de metodología,directa,publicar_optimizado,
PORTAFOLIO GIS,APTITUD/31.png,png,raster con/sin transparencia,3200x2400,198526,P10-P11 Aptitud conservación/agrícola,34-37,bloque isométrico de metodología,directa,publicar_optimizado,
PORTAFOLIO GIS,APTITUD/32.png,png,raster con/sin transparencia,3200x2400,199241,P10-P11 Aptitud conservación/agrícola,34-37,bloque isométrico de metodología,directa,publicar_optimizado,
PORTAFOLIO GIS,BASE.png,png,raster con/sin transparencia,3200x2400,433218,Sistema visual transversal,18-89,trama topográfica,media,publicar_optimizado,
PORTAFOLIO GIS,CAFE ROJO.png,png,raster con/sin transparencia,3200x2400,129894,P03 Cultivo de limón y café,23,icono de café,directa,publicar_optimizado,
PORTAFOLIO GIS,CAFE.pdf,pdf,mapa/documento vectorial,,3183,P03 Cultivo de limón y café,23,icono vectorial de café,directa,convertir_a_svg_web,
PORTAFOLIO GIS,CDMX.png,png,raster con/sin transparencia,3200x2400,133496,P01 Áreas verdes - Miguel Hidalgo,18-19,contorno territorial,directa,publicar_optimizado,
PORTAFOLIO GIS,CO2.png,png,raster con/sin transparencia,3200x2400,144391,P02 Captura de carbono,22,icono temático,directa,publicar_optimizado,
PORTAFOLIO GIS,CONSERVATION.png,png,raster con/sin transparencia,3200x2400,154968,P10 Aptitud para conservación,34-35,icono temático,directa,publicar_optimizado,
PORTAFOLIO GIS,DECOZALAPA.cpg,cpg,codificación de shapefile,,5,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,DECOZALAPA.dbf,dbf,atributos de shapefile,,1116,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,DECOZALAPA.png,png,raster con/sin transparencia,3200x2400,299412,P02-P04 Cuenca de Decozalapa,22-24,máscara territorial,directa,publicar_optimizado,
PORTAFOLIO GIS,DECOZALAPA.prj,prj,sistema de coordenadas GIS,,145,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,DECOZALAPA.qmd,qmd,metadato/estilo GIS,,1531,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,DECOZALAPA.shp,shp,dato GIS vectorial,,80604,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,DECOZALAPA.shx,shx,índice de shapefile,,108,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,Diseño sin título-4.png,png,raster con/sin transparencia,4406x7031,1211214,P01 Áreas verdes - Miguel Hidalgo,19,mapa localizador de alcaldía,directa,publicar_optimizado,
PORTAFOLIO GIS,Diseño sin título.png,png,raster con/sin transparencia,3200x2400,124820,P03 Cultivo de limón y café,23,icono de café alterno,directa,publicar_optimizado,
PORTAFOLIO GIS,FLECHA.png,png,raster con/sin transparencia,3200x2400,76359,Sistema visual transversal,18-89,flecha de llamada,media,publicar_optimizado,
PORTAFOLIO GIS,GRAFICA CARBONO.png,png,raster con/sin transparencia,3200x2400,113902,P02 Captura de carbono,22,gráfica de anillo,directa,publicar_optimizado,
PORTAFOLIO GIS,GRAFICO-SLOPE.png,png,raster con/sin transparencia,3200x2400,194223,P07 Pendiente de Metztitlán,28,gráfica de intervalos,directa,publicar_optimizado,
PORTAFOLIO GIS,GREEN AREA.pdf,pdf,mapa/documento vectorial,,3859,P01 Áreas verdes - Miguel Hidalgo,18-19,icono vectorial de áreas verdes,directa,convertir_a_svg_web,
PORTAFOLIO GIS,GREENAREA.png,png,raster con/sin transparencia,3200x2400,104915,P01 Áreas verdes - Miguel Hidalgo,18-19,icono temático,directa,publicar_optimizado,
PORTAFOLIO GIS,HIDALGO.png,png,raster con/sin transparencia,3200x2400,98867,P05-P08 Metztitlán,25-29,máscara estatal,directa,publicar_optimizado,
PORTAFOLIO GIS,ICONOS BLANCO/2.png,png,raster con/sin transparencia,3200x2400,156901,P02 Captura de carbono,22,icono de índice/categoría,directa,publicar_optimizado,
PORTAFOLIO GIS,ICONOS BLANCO/3.png,png,raster con/sin transparencia,3200x2400,112156,P01 Áreas verdes - Miguel Hidalgo,18-19,icono de índice/categoría,directa,publicar_optimizado,
PORTAFOLIO GIS,ICONOS BLANCO/4.png,png,raster con/sin transparencia,3200x2400,134691,P03 Cultivo de limón y café,23,icono de índice/categoría,directa,publicar_optimizado,
PORTAFOLIO GIS,ICONOS BLANCO/5.png,png,raster con/sin transparencia,3200x2400,113791,P04/P09/P11/P12 Agricultura,"24, 32, 36, 38",icono de índice/categoría,directa,publicar_optimizado,
PORTAFOLIO GIS,ICONOS BLANCO/6.png,png,raster con/sin transparencia,3200x2400,106780,P05/P07/P08/P13 Relieve y cuencas,"26, 28-29, 39",icono de índice/categoría,directa,publicar_optimizado,
PORTAFOLIO GIS,ICONOS BLANCO/7.png,png,raster con/sin transparencia,3200x2400,168094,P06/P10 Ecología y conservación,"27, 34",icono de índice/categoría,directa,publicar_optimizado,
PORTAFOLIO GIS,ICONOS BLANCO/8.png,png,raster con/sin transparencia,3200x2400,75042,P15 Urban Challenge,81-89,icono de índice/categoría,directa,publicar_optimizado,
PORTAFOLIO GIS,LANDFORM.png,png,raster con/sin transparencia,3200x2400,99578,P05 Geomorfología de Metztitlán,26,icono temático,directa,publicar_optimizado,
PORTAFOLIO GIS,LANDUSE.png,png,raster con/sin transparencia,3200x2400,72380,P06 Uso de suelo y vegetación,27,icono temático,directa,publicar_optimizado,
PORTAFOLIO GIS,MAPAS AGS/2.png,png,raster con/sin transparencia,4406x7031,18161711,P10 Aptitud para conservación,34-35,mapa recortado,directa,publicar_optimizado,
PORTAFOLIO GIS,MAPAS AGS/3.png,png,raster con/sin transparencia,4406x7031,18539912,P11 Aptitud agrícola,36-37,mapa recortado,directa,publicar_optimizado,
PORTAFOLIO GIS,MAPAS AGS/4.png,png,raster con/sin transparencia,4406x7031,15430932,P09 Vocaciones productivas,32-33,mapa recortado,directa,publicar_optimizado,
PORTAFOLIO GIS,METZ/14.png,png,raster con/sin transparencia,3200x2400,2246028,P05 Geomorfología de Metztitlán,26,composición cartográfica exportada,directa,referencia_y_publicación,
PORTAFOLIO GIS,METZ/15.png,png,raster con/sin transparencia,3200x2400,1822728,P06 Uso de suelo y vegetación,27,composición cartográfica exportada,directa,referencia_y_publicación,
